Results for 1000 operations: 

Results for: CBPQ
Threads    Runtime (ms)    Throughput (ops/sec)
2          9               111111.11           
4          3               333333.33           
8          3               333333.33           
16         4               250000.00           
32         4               250000.00           
64         6               166666.67           
128        9               111111.11           
256        19              52631.58            
Results for 1000 operations: 

Results for: CBPQ2
Threads    Runtime (ms)    Throughput (ops/sec)
2          5               200000.00           
4          3               333333.33           
8          9               111111.11           
16         3               333333.33           
32         3               333333.33           
64         8               125000.00           
128        8               125000.00           
256        16              62500.00            
