
Results for: CBPQ
Threads    Runtime (ms)    Throughput (ops/sec)
2          51              1960784.31          
4          43              2325581.40          
8          33              3030303.03          
16         25              4000000.00          
32         30              3333333.33          
64         26              3846153.85          
128        33              3030303.03          
256        45              2222222.22          

Results for: CBPQ2
Threads    Runtime (ms)    Throughput (ops/sec)
2          23              4347826.09          
4          22              4545454.55          
8          23              4347826.09          
16         27              3703703.70          
32         25              4000000.00          
64         28              3571428.57          
128        23              4347826.09          
256        47              2127659.57          
