
Results for: CBPQ
Threads    Runtime (ms)    Throughput (ops/sec)
1          216             4629629.63          
2          218             4587155.96          
4          222             4504504.50          
8          205             4878048.78          
16         219             4566210.05          
32         215             4651162.79          
64         197             5076142.13          
128        189             5291005.29          
256        208             4807692.31          

Results for: CBPQ2
Threads    Runtime (ms)    Throughput (ops/sec)
1          181             5524861.88          
2          170             5882352.94          
4          183             5464480.87          
8          196             5102040.82          
16         206             4854368.93          
32         209             4784689.00          
64         199             5025125.63          
128        202             4950495.05          
256        184             5434782.61          
